Fine-Tuning Dataset (language),winogrande (en),winogrande (af),winogrande (zu),winogrande (xh),winogrande (am),winogrande (bm),winogrande (ig),winogrande (nso),winogrande (sn),winogrande (st),winogrande (tn),winogrande (ts),mmlu-clinical_knowledge (en),mmlu-clinical_knowledge (af),mmlu-clinical_knowledge (zu),mmlu-clinical_knowledge (xh),mmlu-clinical_knowledge (am),mmlu-clinical_knowledge (bm),mmlu-clinical_knowledge (ig),mmlu-clinical_knowledge (nso),mmlu-clinical_knowledge (sn),mmlu-clinical_knowledge (st),mmlu-clinical_knowledge (tn),mmlu-clinical_knowledge (ts),mmlu-virology (en),mmlu-virology (af),mmlu-virology (zu),mmlu-virology (xh),mmlu-virology (am),mmlu-virology (bm),mmlu-virology (ig),mmlu-virology (nso),mmlu-virology (sn),mmlu-virology (st),mmlu-virology (tn),mmlu-virology (ts),belebele (en),belebele (af),belebele (zu),belebele (xh),belebele (am),belebele (bm),belebele (ig),belebele (nso),belebele (sn),belebele (st),belebele (tn),belebele (ts)
mmlu-college_medicine (zu),0.2,0.2,0.3,0.4,0.4,0.4,0.3,1.3,0.5,0.3,0.3,0.8,0.5,1.9,2.5,3.5,4.6,1.7,1.2,1.9,0.8,0.8,2.6,1.4,0.9,0.7,1.4,1.6,1.2,1.5,0.3,0.7,1.8,4.1,0.3,3.3,0.1,0.1,0.5,1.1,0.7,1.5,0.9,0.9,0.9,0.9,0.7,1.1
mmlu-college_medicine (xh),0.3,0.2,0.2,0.3,1.2,0.4,0.7,0.6,0.4,0.3,0.5,0.5,1.4,2.7,2.5,0.8,1.7,1.0,3.4,1.6,1.7,1.2,3.7,1.6,0.9,0.0,0.7,2.1,3.9,3.3,0.9,1.2,1.4,2.4,1.9,1.6,0.4,0.3,1.1,1.4,0.5,1.6,1.1,1.6,0.2,2.4,1.4,0.5
mmlu-college_medicine (am),0.3,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.4,0.2,0.2,1.6,2.5,3.1,2.3,0.8,0.4,2.1,1.2,2.3,1.2,0.6,0.7,0.3,2.2,1.2,2.5,4.1,2.8,1.2,3.1,3.7,0.6,1.5,0.3,0.5,0.6,1.0,0.3,0.8,0.9,0.2,1.2,1.0,0.4,0.7
mmlu-college_medicine (bm),0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,1.1,1.0,1.9,2.6,2.0,3.2,1.0,2.1,0.6,2.1,4.0,4.0,0.7,0.6,2.4,2.4,2.7,2.4,3.0,0.7,2.7,1.0,2.7,4.3,0.4,0.2,0.7,1.0,0.8,0.6,1.0,2.2,2.0,0.8,3.0,0.5
mmlu-college_medicine (ig),0.3,0.3,0.9,0.1,0.1,0.1,0.3,0.1,0.6,0.4,0.2,0.6,1.3,1.2,0.4,0.8,2.1,2.4,4.2,2.5,0.9,1.4,1.4,1.2,1.8,0.9,1.8,3.2,2.5,2.8,3.0,2.1,1.4,2.1,3.0,0.3,0.4,0.5,0.6,0.9,0.4,1.0,1.0,1.1,1.5,0.5,1.0,0.3
mmlu-college_medicine (nso),0.4,0.1,0.3,0.2,0.6,0.1,0.3,0.2,0.1,0.3,0.6,0.1,2.1,0.9,1.1,2.3,2.0,3.1,3.0,1.1,1.0,1.1,1.0,2.7,1.2,1.4,0.9,1.6,3.7,1.5,2.1,2.4,2.4,1.2,2.5,2.3,0.6,0.7,1.5,1.2,0.9,1.5,0.6,1.4,1.4,0.4,1.8,0.8
mmlu-college_medicine (sn),0.3,0.1,0.2,0.3,1.1,0.1,0.5,0.4,0.6,1.0,0.6,0.5,1.0,0.8,3.3,1.2,0.9,3.5,2.3,1.0,0.4,3.9,2.3,1.6,0.3,0.6,1.7,3.3,1.2,2.7,3.7,1.8,0.4,2.1,0.3,3.3,0.4,0.5,1.1,0.5,0.3,2.4,0.4,1.4,0.7,0.9,1.0,1.0
mmlu-college_medicine (st),0.8,0.4,0.3,0.1,0.9,0.1,0.3,0.8,0.7,0.4,0.6,0.4,0.6,1.0,3.1,0.4,1.9,1.7,2.1,3.1,1.8,1.0,0.7,1.5,0.9,1.0,2.4,4.8,1.2,3.3,2.3,2.2,3.1,3.2,1.7,2.6,0.3,0.3,0.1,2.3,1.1,0.4,1.2,1.1,1.4,1.2,1.5,0.6
mmlu-college_medicine (tn),0.4,0.3,0.3,0.2,0.4,0.1,0.4,0.1,0.1,0.4,0.4,0.3,1.4,0.2,2.5,2.3,0.2,1.7,0.8,0.6,2.5,1.6,0.6,1.6,0.3,1.8,1.9,1.6,2.4,1.5,3.6,1.2,1.2,3.3,1.8,2.5,0.4,0.5,0.8,1.5,2.1,1.3,1.0,0.8,0.8,1.1,0.4,0.4
mmlu-college_medicine (ts),0.0,0.0,0.1,0.1,0.1,0.0,0.2,0.6,0.2,0.7,0.3,0.2,0.2,1.0,2.0,0.6,3.4,1.7,1.2,2.5,0.8,1.3,2.0,1.7,0.3,1.2,2.5,0.6,0.3,2.6,1.3,1.6,1.2,1.9,1.2,0.6,0.3,0.3,0.8,1.0,1.0,1.1,0.9,1.2,0.3,1.3,0.6,1.3
