qID,Sentence,Option1,Option2,Answer
3D1UCPY6GINZAB68HJIK5I0BYMV83E-1,"የባህሪ አድሎአዊነትን ለማሸነፍ, _ ድርጊቶች በፍቃደኝነት የሚደረጉ ባለመሆናቸው ከንቃተ-ህሊናዊ ውጪ ያሉ ድርጊቶች ይልቅ ንቃተ-ህሊናዊ እርምጃዎችን መለወጥ ላይ የበለጠ ትኩረት ማድረግ አለብን.",ከንቃተ-ህሊናዊ ውጪ,ንቃተ-ህሊናዊ,1
3R5LWXWHR2MQJOJ4K61W4B6CS5OGXO-2,ሜጋን ከጄሲካ በጣም ያነሰ ገንዘብ አላት ምክንያቱም _ የአሸናፊውን የሎተሪ ቲኬት ገዝታለች.,ሜጋን,ጄሲካ,2
3R5LWXWHR2MQJOJ4K61W4B6CS5OGXO-1,ሜጋን ከጄሲካ በጣም የበለጠ ገንዘብ አላት ምክንያቱም _ የአሸናፊውን የሎተሪ ቲኬት ገዝታለች.,ሜጋን,ጄሲካ,1
3NRZ1LDP7W4677DB493437C7D3WZP2-2,ለመክሰስ የሚሆን የኦቾሎኒ እና የዘቢብ ከረጢት አነሳሁ. የበለጠ ጣፋጭ መክሰስ ስለፈለግኩ _ን ለአሁኑ አስቀምጬዋለሁ.,ዘቢብ,ኦቾሎኒ,2
3NRZ1LDP7W4677DB493437C7D3WZP2-1,ለመክሰስ የሚሆን የኦቾሎኒ እና የዘቢብ ከረጢት አነሳሁ. የበለጠ ጣፋጭ መክሰስ ፈልጌ ስለነበር _ን ለአሁን በልቼዋለሁ.,ዘቢብ,ኦቾሎኒ,1
3X55NP42EOE5ME6IJ28VZ67STRW3P5-1,ክሬግ ሁል ጊዜ ማጽዳትን ይወዳል ነገር ግን ዴሪክ አያደርገውም ምክንያቱም _ በጣም ንጹህ ስለሆነ ነው.,ክሬግ,ዴሪክ,1
3X55NP42EOE5ME6IJ28VZ67STRW3P5-2,ክሬግ ሁል ጊዜ ማጽዳትን ይወዳል ነገር ግን ዴሪክ አያደርገውም ምክንያቱም _ በጣም ዝርክርክ ስለሆነ ነው.,ክሬግ,ዴሪክ,2
3JHB4BPSFMNRVHVKKM0UIMOWRR29QT-1,ዴኒስ ምስማሮችን ለመምታት መዶሻውን ለሮበርት ሰጠው. _ ብዙ መዶሻ ነበረው.,ዴኒስ,ሮበርት,1
3JHB4BPSFMNRVHVKKM0UIMOWRR29QT-2,ዴኒስ ምስማሮችን ለመምታት መዶሻውን ለሮበርት ሰጠው. _ መዶሻ አልነበረውም.,ዴኒስ,ሮበርት,2
3DGDV62G7O7G1WAZF2UQGW20SY82PG-2,ድግሱ ከቀብር ሥነ ሥርዓቱ የበለጠ አስደሳች እና የሚያነቃቃ ነበር ምክንያቱም _ ጥብቅ ነበር.,ድግሱ,ቀብር ሥነ ሥርዓቱ,2
3DGDV62G7O7G1WAZF2UQGW20SY82PG-1,ድግሱ ከቀብር ሥነ ሥርዓቱ የበለጠ አስደሳች እና የሚያነቃቃ ነበር ምክንያቱም _ ተለዋዋጭ ነበር.,ድግሱ,ቀብር ሥነ ሥርዓቱ,1
3VW0145YLYAAMPBUU78QY9UMP3VMJ1-2,ዝይዎቹ ከጫካው ይልቅ በሜዳ ላይ ጎጆ መስራትን ይመርጣሉ ምክንያቱም በ _ አዳኞች የበለጠ ድብቅ ይሆናሉ.,ሜዳ,ጫካ,2
3VW0145YLYAAMPBUU78QY9UMP3VMJ1-1,ዝይዎቹ ከጫካው ይልቅ በሜዳ ላይ ጎጆ መስራትን ይመርጣሉ ምክንያቱም በ _ አዳኞች በግልጽ የሚታዩ ናቸው.,ሜዳ,ጫካ,1
3IWA71V4TKUOMVUY8TSASKTOZ3UX63-2,"ተክሉ በማስቀመጫው ውስጥ በጣም ብዙ ቦታ ወሰደ, ምክንያቱም _ ትንሽ ነበር.",ተክሉ,ማስቀመጫው,2
3IWA71V4TKUOMVUY8TSASKTOZ3UX63-1,"ተክሉ በማስቀመጫው ውስጥ በጣም ብዙ ቦታ ወሰደ, ምክንያቱም _ ትልቅ ነበር.",ተክሉ,ማስቀመጫው,1
3M7OI89LVYMLP8KWXZKNM9K59J76CX-1,አዲስ የወፍ ቤት ውጭ ከመሬት በላይ አስቀመጥኩኝ. ነገር ግን _ በጣም ዝቅተኛ ስለነበር ከድመቴ አርቄ ከፍ ማድረግ ነበረብኝ.,የወፍ ቤት,መሬት,1
3M7OI89LVYMLP8KWXZKNM9K59J76CX-2,አዲስ የወፍ ቤት ውጭ ከመሬት በላይ አስቀመጥኩኝ. ነገር ግን _ በጣም ከፍተኛ ስለነበር ከድመቴ አርቄ ከፍ ማድረግ ነበረብኝ.,የወፍ ቤት,መሬት,2
3INZSNUD80OICJS8V2IAQPTPKLFD95-2,ከመዋኛ ገንዳው ይልቅ ስፓን እመርጣለሁ ምክንያቱም በ _ ውስጥ ያለው ቀዝቃዛ ውሃ በቀኑ መጨረሻ ላይ ዘና አያደርግም.,ስፓ,መዋኛ ገንዳ,2
3INZSNUD80OICJS8V2IAQPTPKLFD95-1,ከመዋኛ ገንዳው ይልቅ ስፓን እመርጣለሁ ምክንያቱም በ _ ውስጥ ያለው ሙቅ ውሃ በቀኑ መጨረሻ ላይ ዘና ያደርጋል.,ስፓ,መዋኛ ገንዳ,1
3B9J25CZ27R56VH0OAZQFC45F2ESCA-2,ሜጋን እንደ ኤሌና ያለ ሜካፕ መውጣት ነጻ እንደሚያወጣ ተናግራለች. _ ከቤት ስትወጣ መዋቢያ ተቀብታ አታውቅም.,ሜጋን,ኤሌና,2
3B9J25CZ27R56VH0OAZQFC45F2ESCA-1,ሜጋን እንደ ኤሌና ያለ ሜካፕ መውጣት ነጻ እንደሚያወጣ ተናግራለች. _ ከቤት ስትወጣ መዋቢያ ትቀባለች.,ሜጋን,ኤሌና,1
38G0E1M85OJHKHF44WPVK5AIL6SUV4-1,ዶናልድ ከሌስሊ የበለጠ ሀብታም ነበር ምክንያቱም ኩባንያዎች በ _ ንብረት ላይ የነዳጅ ዘይት በማግኘታቸው ነው.,ዶናልድ,ሌስሊ,1
38G0E1M85OJHKHF44WPVK5AIL6SUV4-2,ዶናልድ ከሌስሊ የበለጠ ድሀ ነበር ምክንያቱም ኩባንያዎች በ _ ንብረት ላይ የነዳጅ ዘይት በማግኘታቸው ነው.,ዶናልድ,ሌስሊ,2
3THR0FZ95R7JB7JDU6BGYQKRCK0OLW-2,"ረቂቅ የተሰማው ዊልያም,  ለፊት በሩ _ ቅርብ ስለነበር የፊት በሩን እንዲዘጋው ኒልን ጠየቀው.",ዊሊያም,ኒል,2
3THR0FZ95R7JB7JDU6BGYQKRCK0OLW-1,"ረቂቅ የተሰማው ዊልያም, ለፊት በሩ _ ሩቅ ስለነበር የፊት በሩን እንዲዘጋው ኒልን ጠየቀው.",ዊሊያም,ኒል,1
3SV8KD29L4Q5WGGVRHYW7QQ8EEZZKB-2,ሊንሴይ የዳክዬ ጣዕም ትወዳለች. ነበር ነገር ግን ሜጋን ዶሮን የበለጠ ትወዳለች. _ የኩንግ ፓኦ ዶሮን ለእራት አዘዘች.,ሊንሴይ,ሜጋን,2
3SV8KD29L4Q5WGGVRHYW7QQ8EEZZKB-1,ሊንሴይ የዳክዬ ጣዕም ትወዳለች. ነበር ነገር ግን ሜጋን ዶሮን የበለጠ ትወዳለች. _ ፔኪንግ ዳክዬን ለእራት አዘዘች.,ሊንሴይ,ሜጋን,1
3RSBJ6YZEE4XBF9H8V8I3DF7F0UFOM-2,_ ታማኝ ደንበኛ ስለነበረች ለሜጋን ለመሸጥ በእያንዳንዱ ጊዜ ኤሌና ከመደብሩ ጀርባ ያለውን የእነርሱን ክምችት እቃ ታመጣ ነበር.,ኤሌና,ሜጋን,2
3RSBJ6YZEE4XBF9H8V8I3DF7F0UFOM-1,_ ነጋዴ ስለነበረች ለሜጋን ለመሸጥ በእያንዳንዱ ጊዜ ኤሌና ከመደብሩ ጀርባ ያለውን የእነርሱን ክምችት እቃ ታመጣ ነበር.,ኤሌና,ሜጋን,1
3TCFMTM8HEMDK4RXU0J0F0K2KZI21L-2,"ኬኔት ዴኒስን ዳንሱ የሚካሄደው ስንት ሰዓት እንደሆነ ጠየቀው, ነገር ግን _ ረስቶት ነበር.",ኬኔት,ዴኒስ,2
3TCFMTM8HEMDK4RXU0J0F0K2KZI21L-1,"ኬኔት ዴኒስን ዳንሱ የሚካሄደው ስንት ሰዓት እንደሆነ ጠየቀው, ምክንያቱም _ ረስቶት ነበር.",ኬኔት,ዴኒስ,1
3S4TINXCC217YYX13TMMKNON1TXBOG-1,"ኤሪክ ለኒይል ሁሉንም ተገቢ የሰውነት ማፍታቻ ዘዴዎች እያስተማረ ነበር, ምክንያቱም _ ክፍያ ለማግኘት ይጠቀምባቸው ነበር.",ኤሪክ,ኒይል,1
3S4TINXCC217YYX13TMMKNON1TXBOG-2,"ኤሪክ ለኒይል ሁሉንም ተገቢ የሰውነት ማፍታቻ ዘዴዎች እያስተማረ ነበር, ምክንያቱም _ ጥሩ የሰውነት ቅርፅ ለማግኘት ይጠቀምባቸው ነበር.",ኤሪክ,ኒይል,2
36MUZ9VAE8GE14IWNBAWA1I8ZL8DE5-2,"ቤት ስትገዛ ፓትሪሺያ እንደ ታንያ ብዙ ገንዘብ ስለሌላት, _ ባለ 5 መኝታ ቤት መኖሪያ ገዛች.",ፓትሪሺያ,ታንያ,2
36MUZ9VAE8GE14IWNBAWA1I8ZL8DE5-1,"ቤት ስትገዛ ፓትሪሺያ እንደ ታንያ ብዙ ገንዘብ ስለሌላት, _ ባለ 1 መኝታ ቤት መኖሪያ ገዛች.",ፓትሪሺያ,ታንያ,1
3E9ZFLPWOYQPLQQSQWPZXPVKJR3IXG-2,"በእጄ ቦርሳ ውስጥ ለማስቀመጥ ትንሽ የፀጉር መንቀያ መግዛት ፈልጌ ነበር, ግን አሁንም ኣልገጠሙም. _ በጣም ትንሽ ነበር.",የፀጉር መንቀያ,የእጄ ቦርሳ,2
3E9ZFLPWOYQPLQQSQWPZXPVKJR3IXG-1,"በእጄ ቦርሳ ውስጥ ለማስቀመጥ ትንሽ የፀጉር መንቀያ መግዛት ፈልጌ ነበር, ግን አሁንም ኣልገጠሙም. _ በጣም ትልቅ ነበር.",የፀጉር መንቀያ,የእጄ ቦርሳ,1
3PCPFX4U40OL22NQ3AOM0KMZ1FFFQD-1,ድንገተኛ ሁኔታዎችን ማስተናገድ ለኬቨን በፍፁም ከባድ አልነበረም ነገር ግን ለኔልሰን ከባድ ነበር ምክንያቱም _ በውጥረት ጊዜ መረጋጋት ይችላል.,ኬቨን,ኔልሰን,1
3PCPFX4U40OL22NQ3AOM0KMZ1FFFQD-2,ድንገተኛ ሁኔታዎችን ማስተናገድ ለኬቨን በፍፁም ከባድ አልነበረም ነገር ግን ለኔልሰን ከባድ ነበር ምክንያቱም _ በውጥረት ጊዜ መረጋጋት አልቻለም.,ኬቨን,ኔልሰን,2
3P4C70TRMTVVJU2F6NY8THBPLKALGF-1,"ምንም እንኳን _ ባትፈልግም ምክንያቱ የወር አበባ ጽዋዎችን ወደ መጠቀም ስለቀየረች, ኤሚሊ እህቷን ሳራን ከሱቁ የሆኑ ታምፖኖች ወይም ፓድ ያስፈልጋት እንደሆነ ጠየቀቻት.",ኤሚሊ,ሳራ,1
3P4C70TRMTVVJU2F6NY8THBPLKALGF-2,"ነገር ግን _ ባትፈልግም ምክንያቱ የወር አበባ ጽዋዎችን ወደ መጠቀም ስለቀየረች, ኤሚሊ እህቷን ሳራን ከሱቁ የሆኑ ታምፖኖች ወይም ፓድ ያስፈልጋት እንደሆነ ጠየቀቻት.",ኤሚሊ,ሳራ,2
3R6RZGK0XHQY1QZ9EXMKNQGVHU3YV6-2,"ከታንያ በተለየ መልኩ, ኤሌና በአበባ ብናኝ ምክኒያት በጣም አጣዳፊ የሆነ ሳል ነበራት,  _ ከአለርጂዎች ነፃ ነበረች.",ኤሌና,ታንያ,2
3R6RZGK0XHQY1QZ9EXMKNQGVHU3YV6-1,"ከታንያ በተለየ መልኩ, ኤሌና በአበባ ብናኝ ምክኒያት በጣም አጣዳፊ የሆነ ሳል ነበራት, _ በአለርጂዎች ተጠቂ ነበረች.",ኤሌና,ታንያ,1
3HJ1EVZS2OHQYRMXWUCK4177UA4R37-1,"ሬቤካ ኤሚን በየቀኑ ለስራ ወደ መኪና ፑል ትወስድ ነበር, ስለዚህ _ የተወሰነ የጋዝ ገንዘብ ጠየቀች.",ሬቤካ,ኤሚ,1
3HJ1EVZS2OHQYRMXWUCK4177UA4R37-2,"ሬቤካ ኤሚን በየቀኑ ለስራ ወደ መኪና ፑል ትወስድ ነበር, ስለዚህ _ የተወሰነ የጋዝ ገንዘብ ሰጠች.",ሬቤካ,ኤሚ,2
3BDORL6HKKBEBRIGPNNLX4B158XCRH-2,ጄኒፈር የዓይን ቀለም እንዴት መቀባት እንዳለባት እንደማታውቅ በጥንቃቔ ለኤሪን ተናገረች. _ አረጋጊ ነበረች.,ጄኒፈር,ኤሪን,2
3BDORL6HKKBEBRIGPNNLX4B158XCRH-1,ጄኒፈር የዓይን ቀለም እንዴት መቀባት እንዳለባት እንደማታውቅ በጥንቃቔ ለኤሪን ተናገረች. _ አፍራ ነበር.,ጄኒፈር,ኤሪን,1
34D9ZRXCYT8HDGK24W3Z9HEIG7ISAG-1,ሰራተኞቹ ድግስ አዘጋጅተው አልኮል ጠጥተው በማግስቱ ወደ ሥራ መግባት አልቻሉም. _ ጮክ ብሎ ነበር.,ድግሱ,አልኮሉ,1
34D9ZRXCYT8HDGK24W3Z9HEIG7ISAG-2,ሰራተኞቹ ድግስ አዘጋጅተው አልኮል ጠጥተው በማግስቱ ወደ ሥራ መግባት አልቻሉም. _ በጣም ብዙ ነበር.,ድግሱ,አልኮሉ,2
39WSF6KUV2JQBCAETMCCTX6ZAD1OEF-2,ፖላንድ ከገባ በኋላ ዴኒስ ከጄሰን የበለጠ ጉዞውን ያስደስተው ነበር ምክንያቱም _ ስለ ፖላንድ ቋንቋ ጥልቀት የሌለው ግንዛቤ ነበረው.,ዴኒስ,ጄሰን,2
39WSF6KUV2JQBCAETMCCTX6ZAD1OEF-1,ፖላንድ እንደገባ ዴኒስ ከጄሰን የበለጠ ጉዞውን ያስደስተው ነበር ምክንያቱም _ ስለ ፖላንድ ቋንቋ ጠለቅ ያለ ግንዛቤ ነበረው.,ዴኒስ,ጄሰን,1
3CMV9YRYP5F5AWSGETJBQU35DCRLJJ-1,"ቤንጃሚን ለዮሴፍ የነደፈው ቤት ቆንጆ ነበር, ስለዚህ _ በፖርትፎሊዮው ተጠቅሞበታል.",ቤንጃሚን,ጆሴፍ,1
3CMV9YRYP5F5AWSGETJBQU35DCRLJJ-2,"ለቤንጃሚን በዮሴፍ የተነደፈው ቤት ውብ ነበር, ስለዚህ _ ለፖርትፎሊዮው ተጠቅሞበታል.",ቤንጃሚን,ጆሴፍ,2
3YLTXLH3DF4KGMDHYNXX3082HG2HPN-2,ጆን ጎድጓዳ ሳህኑን ሞልቶ ያለውን አሳ በምድጃው ላይ ወዳለው የጋለ ድስት ውስጥ _ እስኪሞላ ድረስ አፈሰሰው.,ጎድጓዳ ሳህኑ,ድስቱ,2
3YLTXLH3DF4KGMDHYNXX3082HG2HPN-1,ጆን ጎድጓዳ ሳህኑን ሞልቶ ያለውን አሳ በምድጃው ላይ ወዳለው የጋለ ድስት ውስጥ _ ባዶ እስኪሆን ድረስ አፈሰሰው.,ጎድጓዳ ሳህኑ,ድስቱ,1
3L1EFR8WWVJU4S5B66P06NKJLV1F9S-2,ሱ ሜዲቴሽን ለመለማመድ ስለፈለገች ከክፍሏ ጋር ወደ ጂም ሄደች ነገር ግን _ ተጠቃሚ በዝቶበት ነበር.,ክፍሏ,ጂም,2
3L1EFR8WWVJU4S5B66P06NKJLV1F9S-1,ሱ ሜዲቴሽን ለመለማመድ ስለፈለገች ከክፍሏ ጋር ወደ ጂም ሄደች ነገር ግን _ በጣም ዘግይቷል.,ክፍሏ,ጂም,1
3MDKGGG61QL2BPM7JLFDBJK9SLJ6TJ-2,ናታሊ ከቤቲ በተቃራኒ ኤመራልዶች የሚያምሩ እንቁዎች እንደሆኑ ስለምታስብ _ ትልቅ አልማዝ ያለበት የአንገት ሀብል ገዛች.,ናታሊ,ቤቲ,2
3MDKGGG61QL2BPM7JLFDBJK9SLJ6TJ-1,ናታሊ ከቤቲ በተቃራኒ ኤመራልዶች የሚያምሩ እንቁዎች እንደሆኑ ስለምታስብ _ ትልቅ ኤምራልድ ያለበት የአንገት ሀብል ገዛች.,ናታሊ,ቤቲ,1
3XEIP58NL21VABXKWFMXEORVWA4ZLI-1,በቅርብ ጊዜው ጉዞው ከቤንጃሚን ጋር ገዳይ የሆነ ተኩስ ካደረገ በኋላ አሮን የአደን ጠመንጃውን በእቶኑ ላይ ሰቀለ _ ለእሱ ደስተኛ ነበር .,አሮን,ቤንጃሚን,1
3XEIP58NL21VABXKWFMXEORVWA4ZLI-2,በቅርብ ጊዜው ጉዞው ከቤንጃሚን ጋር ገዳይ የሆነ ተኩስ ካደረገ በኋላ አሮን የአደን ጠመንጃውን በእቶኑ ላይ ሰቀለ _ በራሱ ደስተኛ ነበር .,አሮን,ቤንጃሚን,2
3K3G488TR26T05U1XYBDE8VMH5FQ5S-2,"ኬቨን ከኒክ የበለጠ በአካል ሁለገብ ነው, ምክንያቱም _ ተጎድቶ አልጋ ላይ የተኛ አትሌት ነው.",ኬቨን,ኒክ,2
3K3G488TR26T05U1XYBDE8VMH5FQ5S-1,"ኬቨን ከኒክ የበለጠ በአካል ሁለገብ  ነው, ምክንያቱም _ በስልጠና ላይ ያለ አትሌት ነው.",ኬቨን,ኒክ,1
3DQYSJDTYL9D5LO6UDZ8CAXSMH5XES-1,አዳም በእጅ ብቻ የሚታጠቡ ልብሶችን በማጠቢያ ውስጥ አስቀመጠ  _ ሰነፍ ስለነበር አሮን ግን በእጁ አጠባቸው.,አዳም,አሮን,1
3DQYSJDTYL9D5LO6UDZ8CAXSMH5XES-2,አዳም በእጅ ብቻ የሚታጠቡ ልብሶችን በማጠቢያ ውስጥ አስቀመጠ _  ህሊና ያለው ስለነበር አሮን ግን በእጁ አጠባቸው.,አዳም,አሮን,2
3QGHA0EA0JY09I7WAH1W9JD0AKWWBC-2,ካይል የአፕሪኮትን ጣዕም ይወዳል ነገር ግን ማቲው ፕሪምን በተሻለ ይወዳል. _ የፕሪም ወቅት እስኪደርስ መጠበቅ አልቻለም.,ካይል,ማቲው,2
3QGHA0EA0JY09I7WAH1W9JD0AKWWBC-1,ካይል የአፕሪኮትን ጣዕም ይወዳል ነገር ግን ማቲው ፕሪምን በተሻለ ይወዳል. _ የአፕሪኮት ወቅት እስኪደርስ መጠበቅ አልቻለም.,ካይል,ማቲው,1
3RTFSSG7T84CMRT81UQQNM95RWELWX-2,"ዴሪክ ከጀስቲን በተለየ መልኩ በስራው ላይ ትኩረት ማድረግ አልቻለም, ምክንያቱም _ አዝናኝ ስራ ነበረው.",ዴሪክ,ጀስቲን,2
3RTFSSG7T84CMRT81UQQNM95RWELWX-1,"ዴሪክ ከጀስቲን በተለየ መልኩ በስራው ላይ ትኩረት ማድረግ አልቻለም, ምክንያቱም _ አሰልቺ ስራ ነበረው.",ዴሪክ,ጀስቲን,1
3Z33IC0JC0K460SUMNI4WBZWKULV9S-2,"አቬሪ ከላቲን ይልቅ ጀርመንኛ ቋንቋ ለመማር ይከራከር ነበር, ምክንያቱም _ የበለጠ አዲስ ቋንቋ ነበር.",ላቲን,ጀርመንኛ,2
3Z33IC0JC0K460SUMNI4WBZWKULV9S-1,"አቬሪ ከላቲን ይልቅ ጀርመንኛ ቋንቋ ለመማር ይከራከር ነበር, ምክንያቱም _ የጥንት ቋንቋ ነበር.",ላቲን,ጀርመንኛ,1
31JUPBOORN21WQXQ3RAK966J43ML8G-2,"ኬይላ ከቤቲ ይልቅ በአንድ ጊዜ ከብዙ ሰዎች ጋር የፍቅር ግንኙነት ነበራት, ምክንያቱም _ ክፍት ግንኙነት ነበራት.",ኬይላ,ቤቲ,2
31JUPBOORN21WQXQ3RAK966J43ML8G-1,"ኬይላ ከቤቲ ይልቅ በአንድ ጊዜ ከብዙ ሰዎች ጋር የፍቅር ግንኙነት ነበራት, ምክንያቱም _ አንድ ለአንድ የተወሰነ ግንኙነት ነበራት.",ኬይላ,ቤቲ,1
3WKGUBL7SZK0DPAOROK7SUQE73EL4A-1,ስቲቨን ለማይክል በዚህ በጋ እራሱን ያሳደገውን ማንጎ በኩራት አሳየው. _ ታታሪ ነው.,ስቲቨን,ማይክል,1
3WKGUBL7SZK0DPAOROK7SUQE73EL4A-2,ስቲቨን ለማይክል በዚህ በጋ እራሱን ያሳደገውን ማንጎ በኩራት አሳየው. _ ተደነቀ.,ስቲቨን,ማይክል,2
3QGTX7BCHRGH8MUZ4S6QXZVYAK4Z5U-1,"ጆል የጻፈው ደብዳቤ በአዳም እየተነበበ ነው, ስለዚህ ጸሃፊው_ ነው.",ጆል,አዳም,1
3QGTX7BCHRGH8MUZ4S6QXZVYAK4Z5U-2,"ጆል የጻፈው ደብዳቤ በአዳም እየተነበበ ነው, ስለዚህ _ አራሚው ነው.",ጆል,አዳም,2
3P4ZBJFX2XH5GOIJZHZSK7STICEFW3-1,"ካይል ከኒክ ይልቅ በትልልቅ የሰዎች ስብስብ ፊት ለመናገር ይመቸዋል, ምክንያቱም _ በኮሌጅ የህዝብ ንግግር ኮርሶችን ወስዷል.",ካይል,ኒክ,1
3P4ZBJFX2XH5GOIJZHZSK7STICEFW3-2,"ካይል ከኒክ ይልቅ በትልልቅ የሰዎች ስብስብ ፊት ለመናገር ይመቸዋል, ምክንያቱም _ በኮሌጅ የህዝብ ንግግር ኮርሶችን አልወሰደም.",ካይል,ኒክ,2
34OWYT6U3WFZKU8UNGJLHM92CQ3I9S-2,በሐይቅ ውስጥ ኤሚሊ እርቃኗን ስትዋኝ ፌሊሺያ ሙሉ ሰውነትን የሚሸፍን የመዋኛ ልብስ መረጠች. _ሰውነቷን ለማሳየት በጣም ትፈራለች.,ኤሚሊ,ፌሊሺያ,2
34OWYT6U3WFZKU8UNGJLHM92CQ3I9S-1,በሐይቅ ውስጥ ኤሚሊ እርቃኗን ስትዋኝ ፌሊሺያ ሙሉ ሰውነትን የሚሸፍን የመዋኛ ልብስ መረጠች. _ሰውነቷን ለማሳየት ነጻ ናት.,ኤሚሊ,ፌሊሺያ,1
33K3E8REWWTWWKEFHAD8K016GUUX8H-2,_ በጣም ጠንካራ ስለነበር የሳራ ጄን ሰዓት መጽሐፉ ሲመታው ተሰበረ.,ሰአቱ,መጽሃፉ,2
